"","regionname","CO_CEP","NM_CEP"
"1","Nord-du-Québec","938","Ungava"
"2","Saguenay—Lac-Saint-Jean","930","Roberval"
"3","Saguenay—Lac-Saint-Jean","926","Lac-Saint-Jean"
"4","Saguenay—Lac-Saint-Jean","914","Dubuc"
"5","Saguenay—Lac-Saint-Jean","922","Jonquière"
"6","Saguenay—Lac-Saint-Jean","918","Chicoutimi"
"7","Côte-Nord","906","René-Lévesque"
"8","Côte-Nord","902","Duplessis"
"9","Abitibi-Témiscamingue","642","Abitibi-Ouest"
"10","Mauricie","670","Laviolette-Saint-Maurice"
"11","Capitale-Nationale","760","Charlevoix-Côte-de-Beaupré"
"12","Abitibi-Témiscamingue","648","Abitibi-Est"
"13","Lanaudière","566","Berthier"
"14","Mauricie","666","Maskinongé"
"15","Capitale-Nationale","714","Portneuf"
"16","Capitale-Nationale","754","Chauveau"
"17","Capitale-Nationale","748","Charlesbourg"
"18","Capitale-Nationale","742","Montmorency"
"19","Abitibi-Témiscamingue","636","Rouyn-Noranda-Témiscamingue"
"20","Lanaudière","570","Joliette"
"21","Lanaudière","554","L'Assomption"
"22","Lanaudière","560","Repentigny"
"23","Capitale-Nationale","720","La Peltrie"
"24","Capitale-Nationale","726","Vanier-Les Rivières"
"25","Capitale-Nationale","736","Jean-Lesage"
"26","Chaudière-Appalaches","818","Lévis"
"27","Bas-Saint-Laurent","838","Rimouski"
"28","Bas-Saint-Laurent","842","Matane-Matapédia"
"29","Gaspésie—Îles-de-la-Madeleine","850","Bonaventure"
"30","Gaspésie—Îles-de-la-Madeleine","854","Gaspé"
"31","Gaspésie—Îles-de-la-Madeleine","858","Îles-de-la-Madeleine"
"32","Outaouais","608","Pontiac"
"33","Montréal","390","LaFontaine"
"34","Montréal","380","Pointe-aux-Trembles"
"35","Mauricie","676","Champlain"
"36","Capitale-Nationale","708","Louis-Hébert"
"37","Capitale-Nationale","702","Jean-Talon"
"38","Capitale-Nationale","730","Taschereau"
"39","Chaudière-Appalaches","826","Côte-du-Sud"
"40","Bas-Saint-Laurent","834","Rivière-du-Loup-Témiscouata"
"41","Outaouais","614","Gatineau"
"42","Laval","482","Mille-Îles"
"43","Montréal","360","Bourassa-Sauvé"
"44","Montréal","370","Bourget"
"45","Mauricie","660","Trois-Rivières"
"46","Centre-du-Québec","150","Nicolet-Bécancour"
"47","Centre-du-Québec","144","Arthabaska"
"48","Chaudière-Appalaches","814","Chutes-de-la-Chaudière"
"49","Chaudière-Appalaches","806","Beauce-Nord"
"50","Chaudière-Appalaches","822","Bellechasse"
"51","Outaouais","626","Papineau"
"52","Laval","476","Vimont"
"53","Laval","454","Laval-des-Rapides"
"54","Montréal","364","Jeanne-Mance-Viger"
"55","Montréal","366","Anjou-Louis-Riel"
"56","Montréal","352","Hochelaga-Maisonneuve"
"57","Montérégie","256","Verchères"
"58","Montérégie","258","Borduas"
"59","Centre-du-Québec","138","Drummond-Bois-Francs"
"60","Estrie","104","Mégantic"
"61","Chaudière-Appalaches","810","Lotbinière-Frontenac"
"62","Chaudière-Appalaches","802","Beauce-Sud"
"63","Outaouais","602","Hull"
"64","Outaouais","620","Chapleau"
"65","Laval","460","Chomedey"
"66","Laval","470","Sainte-Rose"
"67","Montréal","340","Maurice-Richard"
"68","Montréal","358","Viau"
"69","Montréal","356","Rosemont"
"70","Montérégie","252","Montarville"
"71","Montérégie","264","Richelieu"
"72","Montérégie","260","Saint-Hyacinthe"
"73","Estrie","132","Richmond"
"74","Estrie","116","Sherbrooke"
"75","Laval","466","Fabre"
"76","Montréal","338","Acadie"
"77","Montréal","344","Laurier-Dorion"
"78","Montréal","346","Gouin"
"79","Montréal","350","Mercier"
"80","Montréal","330","Sainte-Marie-Saint-Jacques"
"81","Montérégie","250","Taillon"
"82","Montérégie","238","Chambly"
"83","Montérégie","126","Johnson"
"84","Estrie","120","Orford"
"85","Estrie","110","Saint-François"
"86","Montréal","312","Nelligan"
"87","Montréal","316","Robert-Baldwin"
"88","Montréal","318","Saint-Laurent"
"89","Montréal","306","Marquette"
"90","Montréal","336","Mont-Royal-Outremont"
"91","Montréal","300","Verdun"
"92","Montérégie","246","Marie-Victorin"
"93","Montérégie","210","Iberville"
"94","Montérégie","206","Granby"
"95","Montérégie","220","Soulanges"
"96","Montérégie","224","Vaudreuil"
"97","Montréal","310","Jacques-Cartier"
"98","Montréal","320","D'Arcy-McGee"
"99","Montréal","324","Notre-Dame-de-Grâce"
"100","Montréal","304","Marguerite-Bourgeoys"
"101","Montréal","326","Saint-Henri-Sainte-Anne"
"102","Montréal","332","Westmount-Saint-Louis"
"103","Montérégie","240","Vachon"
"104","Montérégie","212","Saint-Jean"
"105","Montérégie","204","Brome-Missisquoi"
"106","Montérégie","218","Beauharnois"
"107","Montérégie","226","Châteauguay"
"108","Montérégie","230","Sanguinet"
"109","Montérégie","216","Huntingdon"
"110","Montérégie","232","La Prairie"
"111","Montérégie","236","La Pinière"
"112","Montérégie","244","Laporte"
"113","Laurentides","514","Mirabel"
"114","Laurentides","508","Deux-Montagnes"
"115","Laurentides","502","Groulx"
"116","Laurentides","536","Blainville"
"117","Laurentides","530","Les Plaines"
"118","Lanaudière","542","Terrebonne"
"119","Lanaudière","548","Masson"
"120","Lanaudière","576","Rousseau"
"121","Laurentides","582","Prévost"
"122","Laurentides","526","Saint-Jérôme"
"123","Laurentides","520","Argenteuil"
"124","Laurentides","594","Labelle"
"125","Lanaudière","588","Bertrand"
